V=video Storage, e=externo, -=sin video

- triceps-extension-cable                        Extensión de tríceps (Polea)
- triceps-extension-dumbbell                     Extensión de tríceps (Mancuerna)
- triceps-extension-machine                      Extensión de tríceps (Máquina)
- triceps-extension-suspension                   Extensión de tríceps (TRX)
V triceps-kickback-cable                         Patada de tríceps (Polea)
V triceps-kickback-dumbbell                      Patada de tríceps (Mancuerna)
- triceps-pressdown                              Empuje de tríceps en polea
V triceps-pushdown                               Empuje de tríceps
- triceps-rope-pushdown                          Empuje de tríceps con cuerda
V upright-row-barbell                            Remo al mentón (Barra)
V upright-row-cable                              Remo al mentón (Polea)
V upright-row-dumbbell                           Remo al mentón (Mancuerna)
- v-up                                           V up (Abdominal en V)
- vertical-traction-machine                      Tracción vertical (Máquina)
- waiter-curl-dumbbell                           Curl camarero (Mancuerna)
- walking                                        Caminar
- walking-lunge-dumbbell                         Estocada caminando (Mancuerna)
V wall-ball                                      Wall ball (Lanzamiento a la pared)
V wall-sit                                       Sentadilla isométrica en la pared
- warm-up                                        Calentamiento
- wide-elbow-triceps-press-dumbbell              Press de tríceps con codos abiertos (Mancuerna)
- wide-pull-up                                   Dominada abierta
- wrist-roller                                   Enrollador de muñeca
- yoga                                           Yoga
V zercher-squat                                  Sentadilla Zercher
V zottman-curl-dumbbell                          Curl Zottman (Mancuerna)

TOTAL 415
